种子ID,星区数量,磁石总数,蓝巨星总数,0型恒星总数
15490431,36,8,0,2
16514828,36,2,0,1
18254827,36,5,2,2
18265029,36,2,0,3
19477793,36,13,1,1
22046449,36,3,0,1
22918307,36,5,0,2
25455897,36,8,1,3
28353815,36,2,2,2
28925793,36,2,0,1
29382274,36,7,0,2
32831328,36,6,1,1
34970858,36,8,0,1
36049509,36,16,1,1
40208801,36,7,1,2
40979439,36,3,0,1
43190756,36,14,2,1
46157368,36,5,1,3
46605709,36,3,1,1
46659722,36,2,0,2
47281265,36,2,0,2
49890126,36,4,0,1
52431824,36,4,0,2
53081065,36,3,2,1
53963465,36,12,0,2
55460960,36,4,0,1
56831069,36,2,0,3
56881934,36,9,1,1
58401787,36,3,1,2
61614917,36,6,0,2
61998914,36,15,1,2
63995939,36,3,0,1
65452947,36,4,1,2
68194873,36,16,1,3
71682796,36,11,0,3
75713116,36,8,1,3
75733867,36,8,1,2
76230415,36,3,1,2
77975917,36,9,1,2
78113081,36,4,0,2
79710376,36,7,0,1
82914925,36,8,1,2
84443440,36,4,0,2
85206902,36,2,0,2
85908355,36,6,0,1
86088127,36,3,0,1
87334088,36,9,0,1
88613656,36,3,0,2
90142061,36,8,1,2
90350133,36,8,0,3
90479876,36,5,0,2
92100865,36,4,1,3
94994623,36,2,0,3
96452238,36,7,1,2
97697985,36,4,1,2
692775,35,7,0,3
8743269,35,3,2,2
11691594,35,9,1,1
11778697,35,6,0,3
14107631,35,6,1,2
14234809,35,12,1,1
15490431,35,8,0,2
18254827,35,8,0,2
18265029,35,2,1,2
18586107,35,10,0,2
20267046,35,10,0,2
22918307,35,4,0,2
23212016,35,2,0,2
25455897,35,4,1,2
29458333,35,4,0,1
30715358,35,4,1,1
30742236,35,9,0,1
32990826,35,4,0,2
34986831,35,5,0,1
36929038,35,4,1,3
38588756,35,5,1,1
40208801,35,4,0,2
41963331,35,14,0,2
44208067,35,4,1,2
45159611,35,5,1,1
46157368,35,2,0,3
47281265,35,4,1,2
52603039,35,2,0,2
53664945,35,8,1,2
53963465,35,5,0,2
56667312,35,5,1,1
56831069,35,2,1,3
57422340,35,4,2,1
58401787,35,3,0,2
61614917,35,2,1,2
61998914,35,8,0,2
64401049,35,9,0,2
66245301,35,2,1,1
66985512,35,2,1,1
70665159,35,5,1,1
73905107,35,2,0,2
74256026,35,11,0,1
75713116,35,3,0,3
75733867,35,5,2,2
76049628,35,3,0,1
76230415,35,2,1,2
78113081,35,4,1,2
78301058,35,7,1,1
80961715,35,8,0,1
85206902,35,5,0,2
85926918,35,5,0,2
86334886,35,11,0,1
87966440,35,7,1,2
90479876,35,8,1,2
91515596,35,11,1,2
94994623,35,3,1,2
96076042,35,4,0,1
96085249,35,7,1,1
96512955,35,11,0,2
96752777,35,3,2,2
97697985,35,8,0,2
98381686,35,6,0,1
494714,34,4,0,2
692775,34,2,0,2
1952032,34,6,0,1
2316497,34,5,0,1
4192972,34,8,1,3
6369556,34,3,1,1
7545068,34,7,0,1
8162693,34,3,1,2
9415946,34,10,0,1
11778697,34,6,0,3
12660021,34,2,1,1
15490431,34,5,0,2
17495940,34,6,1,1
18254827,34,9,0,2
22752652,34,3,0,2
22918307,34,11,0,3
23212016,34,3,0,2
25455897,34,4,1,2
26227922,34,7,1,2
26939038,34,4,1,1
27734544,34,3,0,1
29345248,34,5,1,1
31493042,34,5,1,1
31721245,34,7,2,2
31813494,34,3,0,1
35355917,34,7,0,2
35459326,34,4,0,1
39996216,34,9,1,3
40208801,34,3,0,3
40463968,34,5,0,2
43863652,34,8,1,1
46157368,34,5,0,2
47281265,34,4,1,2
50272164,34,4,0,1
50894886,34,10,1,1
51511970,34,2,2,1
52431824,34,5,1,2
53664945,34,7,1,2
53963465,34,5,0,2
55548558,34,6,0,1
56955597,34,6,1,1
58401787,34,2,0,2
59208253,34,2,1,1
61495489,34,2,1,2
61614917,34,2,1,2
61998914,34,10,0,2
62424866,34,4,0,3
63366660,34,2,0,2
68729653,34,2,1,2
70970502,34,7,1,1
73351541,34,3,1,1
75713116,34,2,0,2
75733867,34,4,2,2
76956590,34,14,1,1
77885233,34,3,1,1
80671967,34,2,1,1
81567670,34,8,0,1
85180757,34,13,0,2
85206902,34,5,0,1
85594242,34,4,0,3
87471144,34,3,0,1
90413178,34,5,0,1
90479876,34,6,1,2
91515596,34,11,1,2
93955980,34,2,0,1
94411231,34,6,0,2
94899726,34,4,0,2
94994623,34,3,1,2
95302937,34,5,0,2
96353411,34,3,1,1
97697985,34,7,0,2
97865932,34,4,0,2
97924305,34,6,0,4
98050773,34,7,0,2
692775,33,4,0,2
1822128,33,3,0,2
3432155,33,13,0,1
4001094,33,13,0,1
4192972,33,6,1,2
4629055,33,3,0,1
5761182,33,8,1,1
6683186,33,11,0,3
6776648,33,12,0,1
9324957,33,4,1,1
10364356,33,8,0,1
11778697,33,14,0,3
12462330,33,5,1,2
13928202,33,6,0,1
14780386,33,9,0,2
15490431,33,4,0,2
16915889,33,2,1,2
18507400,33,4,1,2
18586107,33,4,0,3
20333414,33,2,1,1
22752652,33,2,1,2
22918307,33,11,0,3
23212016,33,3,0,4
24837678,33,7,0,1
25328078,33,5,0,1
25455897,33,2,0,2
26227922,33,8,1,1
31703623,33,4,1,2
32275294,33,3,0,1
32494440,33,2,0,1
37127784,33,2,0,2
40208801,33,4,1,3
41210596,33,2,0,2
41720893,33,3,0,2
45431987,33,6,1,1
45471762,33,3,0,1
46157368,33,8,0,2
46582144,33,5,0,1
47016432,33,5,2,1
47281265,33,2,1,1
48818144,33,5,0,2
49599284,33,8,1,1
52431824,33,3,1,2
53513677,33,4,1,1
53664945,33,8,2,2
53963465,33,6,1,2
54848403,33,14,2,1
55003002,33,6,2,1
58401787,33,2,0,1
60583328,33,6,0,1
61614917,33,6,1,1
61998914,33,10,0,2
62424866,33,7,1,3
63276455,33,3,1,1
64702000,33,10,0,1
66377519,33,7,0,1
67147727,33,3,1,1
68581935,33,5,0,2
70907354,33,2,1,2
71039732,33,15,0,1
73521119,33,15,1,2
75349500,33,4,1,1
75713116,33,2,0,2
75733867,33,6,1,2
76547674,33,4,0,2
77352799,33,8,1,1
78657502,33,8,0,1
80760341,33,7,1,1
82409923,33,3,1,2
82435708,33,6,1,1
83971116,33,5,0,1
84157448,33,9,0,2
85762308,33,3,1,2
89791888,33,2,0,1
89955721,33,9,0,1
90468371,33,5,1,1
91515596,33,7,0,2
91955634,33,2,0,1
92909653,33,4,1,2
94994623,33,4,1,2
95040541,33,4,1,2
95302937,33,5,0,1
97697985,33,2,0,3
97924305,33,8,1,3
98028255,33,4,0,1
2682166,32,4,1,2
3061227,32,9,0,1
4192972,32,5,1,2
6653435,32,3,0,1
7294775,32,3,0,1
10180172,32,6,0,1
10198052,32,2,0,2
11778697,32,13,0,3
12092742,32,5,0,1
12462330,32,3,1,2
13761008,32,6,0,1
15490431,32,2,0,2
15929045,32,3,0,1
16107434,32,8,1,1
16783290,32,3,2,1
16915889,32,12,1,2
17133068,32,7,1,1
18507400,32,3,1,2
18586107,32,2,0,3
20183608,32,9,0,1
20444476,32,2,1,3
20772727,32,6,0,1
22419606,32,7,0,1
22752652,32,3,1,2
22918307,32,2,0,3
23212016,32,10,0,4
25455897,32,3,0,2
30402254,32,2,0,1
34975951,32,5,0,2
34984724,32,2,1,1
36643058,32,6,1,1
39594030,32,6,1,1
40208801,32,13,1,3
41210596,32,3,0,2
41809306,32,5,0,2
44576262,32,4,0,1
45357237,32,12,0,1
47179671,32,7,1,2
48818144,32,12,0,2
49400493,32,2,1,1
50155935,32,3,1,1
52431824,32,5,1,1
52696674,32,10,0,2
52997355,32,6,0,1
53963465,32,5,1,3
58679219,32,3,2,1
59752858,32,3,1,1
59918922,32,3,0,1
60607776,32,6,1,2
61260144,32,3,0,2
61998914,32,7,0,1
62424866,32,8,1,2
62654919,32,6,2,2
62805017,32,8,1,3
64130240,32,3,0,1
65748073,32,7,0,2
67573082,32,2,1,1
67826560,32,6,1,2
70907354,32,3,1,1
71621988,32,7,0,1
73521119,32,8,1,2
74180477,32,2,0,1
74543485,32,10,0,2
75733867,32,15,1,3
77395204,32,4,0,1
78895071,32,2,0,1
80261039,32,5,0,1
85762308,32,4,1,3
91515596,32,5,0,2
94601513,32,6,1,2
94994623,32,10,0,2
95681653,32,7,1,1
97175387,32,4,0,2
97924305,32,6,1,2
99378717,32,5,0,1
99840523,32,5,0,2
